SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
cbb51e2d,160,82.824,0,92,436,5.844,0,0,0
9102da6e,160,81.439,0,71,577,5.536,0,0,0
1dee974c,53,11.039,0,41,192,5.481,0,0,0
e0438f71,53,11.240,0,41,192,5.522,0,0,0
884b179f,56,11.409,0,70,380,5.510,0,0,0
593ba0b4,54,11.129,0,66,324,5.512,0,0,0
b7277646,54,11.096,0,65,309,5.532,0,0,0
4a8f6870,56,11.543,0,97,453,5.557,0,0,0
9495fd78,0,3.815,0,0,0,5.563,0,0,0
sum,646,235.534,0,543,2863,50.057,0,0,0
arith_mean,80.75,26.17,0,67.88,357.88,5.56,0,0,0
geo_mean,71.16,15.51,0,65.03,335.32,5.56,0,0,0
