SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
06863c54,160,108.458,0,69,283,4.600,20,0,0
af8d8ea7,47,72.414,0,85,352,3.983,14,0,0
80ef8bb2,37,63.103,0,78,334,3.947,13,0,0
2c82ff16,37,63.074,0,77,335,11.804,13,0,0
848b6abc,34,67.638,0,86,347,4.067,13,0,0
d380d95e,1,11.666,0,90,376,4.066,8,0,0
f68dd1db,43,72.887,0,101,436,4.029,13,0,0
53b965df,9,27.416,0,96,388,4.037,8,0,0
c6abf79b,43,71.791,0,97,411,4.046,13,0,0
7b41635a,41,71.908,0,106,433,4.124,14,0,0
a6986119,44,86.696,0,119,575,4.083,13,0,0
20acc8ff,39,76.542,0,110,500,4.094,14,0,0
2beed862,7,29.782,0,108,455,4.096,8,0,0
eb9cf858,5,19.024,0,15,46,4.313,0,0,0
d2285ff1,5,18.835,0,15,46,4.094,0,0,0
7d53c1a6,28,68.645,0,92,392,4.303,8,0,0
43bccc8b,37,68.205,0,96,410,4.268,13,0,0
fd519999,1,16.457,0,62,212,4.093,0,0,0
7405247e,15,51.702,0,16,55,4.123,7,0,0
91fb76da,,0,,,,0,0,,
sum,,1066.243,,,,86.170,192,,
arith_mean,33.32,56.12,0,79.89,336.11,4.54,12.00,0,0
geo_mean,18.43,47.49,0,68.51,275.30,4.36,11.54,0,0
