SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
06863c54,160,105.292,0,69,283,4.600,20,0,0
af8d8ea7,47,9.727,0,32,113,3.983,0,0,0
80ef8bb2,37,9.516,0,8,27,3.947,0,0,0
2c82ff16,37,9.485,0,7,15,11.804,0,0,0
848b6abc,2,9.277,0,8,24,4.067,0,0,0
d380d95e,1,8.800,0,8,24,4.066,0,0,0
f68dd1db,41,10.059,0,18,65,4.029,0,0,0
53b965df,22,9.449,0,10,22,4.037,0,0,0
c6abf79b,9,9.408,0,8,21,4.046,0,0,0
7b41635a,41,10.499,0,13,44,4.124,1,0,0
a6986119,44,9.347,0,50,165,4.083,0,0,0
20acc8ff,41,9.415,0,15,39,4.094,1,0,0
2beed862,7,7.796,0,6,11,4.096,0,0,0
eb9cf858,6,8.216,0,2,3,4.313,0,0,0
d2285ff1,5,7.963,0,1,1,4.094,0,0,0
7d53c1a6,0,3.874,0,0,0,4.303,0,0,0
43bccc8b,37,8.766,0,12,38,4.268,0,0,0
fd519999,25,8.665,0,15,45,4.093,0,0,0
7405247e,38,9.061,0,3,5,4.123,1,0,0
91fb76da,,0,,,,0,0,,
sum,,264.615,,,,86.170,23,,
arith_mean,33.33,13.93,0,15.83,52.50,4.54,5.75,0,0
geo_mean,18.86,9.91,0,9.82,25.29,4.36,2.11,0,0
