SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
4d782e211e9d9e112d34becec2c2987fd717f972,160,3122.560,627,627,0,9.648,75,0,0
311bb3b24237bc26ac2b7b9e649474f6b5d11140,43,19.727,627,396,0,9.163,24,0,0
e45314ae1ee005fb453f7fa8fc75e1c39fcc8399,1,12.877,627,46,0,8.991,0,0,0
2d6644461ba55034a80b125e3570c42181cca149,44,24.342,628,509,0,9.190,29,0,0
ca346b8896f947592fa92501199587fd43752356,42,17.048,629,310,0,9.060,13,0,0
28c94188145cdebca845aa7569b3aa290de190f6,45,19.827,630,392,0,9.217,66,0,0
f835a880765bf61889ddb72d9c4c02dccae204b1,0,5.203,630,0,0,9.043,0,0,0
a735f920c141592b07bbf1778a961871f4ef4386,44,24.437,630,516,0,9.106,30,0,0
bba835d98ed438e17b970f650ad9256632e84a04,28,15.392,630,115,0,9.172,2,0,0
e2f354333a5b8462e8a4899ad27179d0f4f2b4ec,44,24.606,630,511,0,9.358,30,0,0
897b86b9ae9982dc2dc9df607bc18340ffbb3a0c,0,5.215,630,0,0,9.223,0,0,0
59cf72243782679af46aa29928879504ddb36f29,44,24.717,635,531,0,9.308,74,0,0
1941a7e90b70fb7e5149f8cb757cacb64ab182de,44,24.740,635,531,0,9.168,74,0,0
ca903ae97d605c1323d4092eb4a1a9a1516237e1,160,31.804,679,163,0,10.052,78,0,0
1fe7dabbbcde784094ceca47f5036e8b3f1ec722,49,18.674,679,336,0,9.348,63,0,0
d5e69ffd8987e61a72640fd7ff82c3c3de6af3cf,0,5.598,679,0,0,9.549,0,0,0
b34e8b9303acff77353ba86ee6ffb2f2ac88c635,35,17.046,679,268,0,9.609,55,0,0
43e04d682aed69638b0b779261725a51e62b016e,35,17.211,679,268,0,9.450,55,0,0
156d365aa3b5aa2a7df897532469bc99fd9f037d,51,26.174,680,564,0,9.527,75,0,0
599cd1d84d5bd2cc13940e1dfe75cf7c1fed6cd4,35,17.000,680,268,0,9.508,55,0,0
sum,904,3474.198,12943,6351,0,186.690,798,0,0
arith_mean,53.18,173.71,647.15,373.59,0,9.33,49.88,0,0
geo_mean,38.81,21.47,646.72,318.60,0,9.33,38.86,0,0
