SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
4d782e211e9d9e112d34becec2c2987fd717f972,160,3365.819,0,627,0,9.648,75,0,0
311bb3b24237bc26ac2b7b9e649474f6b5d11140,40,18.372,0,119,0,9.163,20,0,0
e45314ae1ee005fb453f7fa8fc75e1c39fcc8399,1,13.116,0,14,0,8.991,0,0,0
2d6644461ba55034a80b125e3570c42181cca149,44,23.789,0,304,0,9.190,25,0,0
ca346b8896f947592fa92501199587fd43752356,37,15.228,0,47,0,9.060,9,0,0
28c94188145cdebca845aa7569b3aa290de190f6,40,17.110,0,91,0,9.217,18,0,0
f835a880765bf61889ddb72d9c4c02dccae204b1,0,5.689,0,0,0,9.043,0,0,0
a735f920c141592b07bbf1778a961871f4ef4386,0,5.699,0,0,0,9.106,0,0,0
bba835d98ed438e17b970f650ad9256632e84a04,0,12.969,0,2,0,9.172,0,0,0
e2f354333a5b8462e8a4899ad27179d0f4f2b4ec,44,24.215,0,306,0,9.358,26,0,0
897b86b9ae9982dc2dc9df607bc18340ffbb3a0c,0,5.660,0,0,0,9.223,0,0,0
59cf72243782679af46aa29928879504ddb36f29,44,23.995,0,327,0,9.308,26,0,0
1941a7e90b70fb7e5149f8cb757cacb64ab182de,44,24.122,0,326,0,9.168,26,0,0
ca903ae97d605c1323d4092eb4a1a9a1516237e1,160,32.442,0,47,0,10.052,78,0,0
1fe7dabbbcde784094ceca47f5036e8b3f1ec722,13,15.122,0,1,0,9.348,6,0,0
d5e69ffd8987e61a72640fd7ff82c3c3de6af3cf,0,6.019,0,0,0,9.549,0,0,0
b34e8b9303acff77353ba86ee6ffb2f2ac88c635,0,6.041,0,0,0,9.609,0,0,0
43e04d682aed69638b0b779261725a51e62b016e,15,14.867,0,5,0,9.450,7,0,0
156d365aa3b5aa2a7df897532469bc99fd9f037d,30,15.767,0,39,0,9.527,3,0,0
599cd1d84d5bd2cc13940e1dfe75cf7c1fed6cd4,15,14.997,0,2,0,9.508,7,0,0
sum,687,3661.038,0,2257,0,186.690,326,0,0
arith_mean,49.07,183.05,0,150.47,0,9.33,25.08,0,0
geo_mean,30.09,17.83,0,41.12,0,9.33,16.61,0,0
