SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
a51c95783db026cd20d46bd74b96f2c95a71429d,160,9.847,0,27,128,5.453,0,0,0
d1f8470cf3b1aa8624449e90bec3db961459952b,160,10.336,0,19,61,2.782,0,0,0
343e636bda736e2d1596139b5da5fe7a562e2344,160,8.400,0,11,20,2.541,0,0,0
192c9ebd667d4c69e51212ad67015fb062977486,160,24.006,0,1,6,2.994,9,0,0
54a1e5d1d22428c34713bea5ce5acde166a0e004,2,7.920,0,2,3,2.637,0,0,0
48496e6233c0ea81961858cba978d9c5f991f2e8,2,7.564,0,1,4,2.378,0,0,0
52f855926525bfc98ca807c95631ac8efed12782,2,6.614,0,2,7,2.464,0,0,0
fb19114afbeb77d7e60ed03f5bf8201084c13420,0,8.859,0,1,5,2.636,0,0,0
c984455050bd7a3dff0892687db711170d062f2c,0,3.815,0,0,0,3.025,0,0,0
92e7794bdf498f97e25e1114d8a753b2851b42bd,160,10.697,0,21,64,3.395,0,0,0
e8f0072be75e9098e3a6a63f767b01a751abada6,160,38.822,0,71,225,4.253,2,0,0
d8cd52e46b47ebd48785c5715dea25cbd0d4586f,21,9.037,0,19,37,3.835,0,0,0
9bd19b0fcf89fe0e15f9ce9189533b78a87d9233,160,49.420,0,22,50,3.375,2,0,0
c51cc81d9157c99a8970c92e2f6b9c5444148c9b,6,9.770,0,2,8,3.942,0,0,0
74f38d894d7f26c902918ba8c58f82c77c11a18e,6,9.029,0,22,41,3.453,0,0,0
13d5dd5b8a7456fa848ba18aeb59c3abd8e94f93,7,9.848,0,5,11,3.494,0,0,0
d33e6c912d23d88887060afcc531d7059db763a6,4,8.961,0,2,6,3.841,0,0,0
4513571acf4b8ae5c0a7665ab4108de0440b23b5,3,10.110,0,25,44,3.972,0,0,0
4a59a21be1fe6174026ea6ffca8d8a00ce3fecd1,25,9.808,0,25,63,4.365,0,0,0
f79a6ca5b36429b801eec501fee6e7d056cf2528,0,4.703,0,0,0,3.497,0,0,0
sum,1198,257.566,0,278,783,68.332,13,0,0
arith_mean,70.47,12.88,-nan,15.44,43.50,3.42,4.33,-nan,-nan
geo_mean,21.16,10.31,-nan,7.34,21.00,3.34,3.30,-nan,-nan
