SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
bb439097,0,154.531,0,0,0,8.799,6,0,0
9f652e7a,0,143.562,0,0,0,5.329,6,0,0
f7cb9b91,0,4.471,0,0,0,5.252,0,0,0
3afb0a43,0,110.850,0,0,0,5.503,0,0,0
dd00c81c,0,5.952,0,0,0,5.549,0,0,0
96c13096,0,3.665,0,0,0,5.377,0,0,0
04698b21,0,4.284,0,0,0,5.147,0,0,0
1fd0a702,0,3.887,0,0,0,5.394,0,0,0
d77a3cfd,0,3.603,0,0,0,5.506,0,0,0
ed4fa984,0,4.258,0,0,0,5.309,0,0,0
094c2cb4,0,4.484,0,0,0,5.505,0,0,0
014cc932,0,3.979,0,0,0,5.406,0,0,0
427bb666,0,3.693,0,0,0,5.563,0,0,0
eb052c36,0,4.006,0,0,0,5.124,0,0,0
e060e937,0,3.980,0,0,0,5.670,0,0,0
d75e3d25,0,3.664,0,0,0,5.559,0,0,0
9909973e,0,4.165,0,0,0,6.339,0,0,0
bf213349,0,3.838,0,0,0,5.339,0,0,0
81f94cd4,0,4.099,0,0,0,5.127,0,0,0
5162ef9a,0,104.006,0,0,0,5.948,0,0,0
sum,0,578.977,0,0,0,112.745,12,0,0
arith_mean,-nan,28.95,-nan,-nan,-nan,5.64,6.00,-nan,-nan
geo_mean,-nan,8.13,-nan,-nan,-nan,5.60,6.00,-nan,-nan
