SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
491d1077adf30de070728e4b73559668155f1a06,160,4.361,0,1,6,1.774,0,0,0
c28e9fe824c8110787c73deafb019bfe3b811035,160,6.321,0,14,78,2.595,0,0,0
c9aabc3600c04ca1bb858633fa8d137db3eb9429,39,5.336,0,17,55,2.194,0,0,0
58206912d6dc1edc5a3b9b9b91bbf29f694a86dd,38,5.068,0,16,41,2.206,0,0,0
b2e434bd303e2d374a57377c4e2127361feee23a,160,6.571,0,10,90,2.250,0,0,0
f3ddac37702567e1be686d9ce43328ab41b1a513,38,5.085,0,6,24,2.244,0,0,0
c337f13a9138decbcf629bbc1003004187223723,160,8.972,0,9,17,2.400,0,0,0
f874f9e8d012e84718555a67d10b243d3387ba52,38,6.614,0,12,34,2.836,0,0,0
3c8b437765a6ff4c068a08d4d158c409a2875cb8,38,6.539,0,11,35,2.882,0,0,0
d886bc15659706d9b78c17aeeb5237929f8c959c,39,6.986,0,20,47,2.876,0,0,0
14c1d8accc0fa7626d85d6d34134c7c8b953741d,21,5.562,0,1,2,2.834,0,0,0
1cf39d02e061dc1fb333d59feefd820022b972d8,23,5.649,0,3,7,2.821,0,0,0
ba6721c938805d2936ffc283d72f27c42b5eef6e,23,5.631,0,3,7,2.819,0,0,0
e3c96bbaf66c709ae831777e7a9eeb201f536566,23,5.690,0,6,77,2.850,0,0,0
e730aa8fc23d6933b2dc4bd249895718b028ab06,27,5.633,0,5,12,2.828,0,0,0
e6e0afa00185e5211451db7d3f5388f7a5f08bce,160,19.724,0,4,14,2.850,0,0,0
4ebd0515138afa6e3d7d7bee7a7d30309be90ddc,35,6.685,0,4,8,2.904,0,0,0
8b46b6d5ba4d9e56311c402f7d77d66b59220359,37,6.363,0,10,33,2.527,0,0,0
107ef340b7b4fc2004d53db072dc2af7fcecdd30,160,20.977,0,9,26,2.594,2,0,0
35029e6d18402bbcd31ecd8676f1d2a666471366,37,6.620,0,21,67,2.615,0,0,0
sum,1416,150.387,0,182,680,51.899,2,0,0
arith_mean,70.80,7.52,0,9.10,34.00,2.59,2.00,0,0
geo_mean,51.55,6.80,0,6.80,22.65,2.57,2.00,0,0
