SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
8a413067f0fa1fca5392740a538fd8b1276ba213,160,7.911,0,6,48,2.341,0,0,0
499f55f335ef36842d44b966416031fcc606a5d1,0,3.200,0,0,0,1.992,0,0,0
f359660f971aee4003b539bcd7cf0161974f8221,160,10.241,0,22,141,2.830,2,0,0
e57507a2d2a55a073e49c34ba66079fe554e68eb,37,6.350,0,15,66,2.556,2,0,0
0dbc32a2f0894cb6e0ebb47345f0c93e81098ea2,37,6.359,0,15,44,2.592,2,0,0
4ec60c869b56723e941f9eb5ecdabbd7535aad94,37,6.220,0,12,35,2.621,2,0,0
39da7e02834096d3a4cfbc3e5236de4d4bad9fd8,160,44.280,0,18,84,3.179,2,0,0
75c9556e4432afe896daeff3b73f299438eec8c7,34,5.724,0,3,6,2.785,0,0,0
8935f9939efc31b3acb874802dbd9e08306afd66,28,5.681,0,3,7,2.791,0,0,0
43624aa653b30d7667b25c37fa7e2de5f09acd8a,43,6.536,0,13,36,2.839,2,0,0
365758463762f2e9b83aa27e1df877d11797731c,6,5.226,0,1,4,2.784,0,0,0
81791cbd50aff62a7254c3ff9cb1657a05e7d7db,18,5.374,0,2,10,2.884,0,0,0
e68ff53de73d6cdc14e54d87878d39302f4b6c09,44,6.552,0,21,146,2.835,2,0,0
3205f39ced771f4068dd36cfda78dc42dc3be65d,160,66.606,0,17,123,3.723,2,0,0
618eea344c257e82ca132b1954f73abd717e9f30,160,76.751,0,5,12,3.863,2,0,0
b610826f6f0363caac0413fbf6bef48b4100612d,160,88.772,0,28,200,3.583,2,0,0
cc815143e2bbcee8a4481baa6a803ea57b9b63ab,160,65.301,0,1,4,3.546,2,0,0
32e4a6ffaa7a02592e8b9623d67e284e67a6a451,160,60.393,0,18,59,3.116,2,0,0
sum,1564,477.477,0,200,1025,52.860,24,0,0
arith_mean,92.00,26.53,0,11.76,60.29,2.94,2.00,0,0
geo_mean,63.32,13.43,0,7.76,31.84,2.90,2.00,0,0
