SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
217e6001,160,99.706,0,55,302,10.542,4,0,0
3e69d214,3,15.662,0,48,305,9.960,0,0,0
7b78f286,23,47.216,0,48,301,10.154,0,0,0
0c9f308d,31,37.425,0,69,348,10.378,0,0,0
0af2a93d,30,49.349,0,47,295,9.932,0,0,0
e9fb3765,64,85.935,0,73,348,10.091,0,0,0
336c3606,51,66.425,0,66,471,10.003,0,0,0
b2359669,40,44.443,0,48,275,10.061,0,0,0
3c3cacae,48,67.718,0,44,305,10.022,0,0,0
f644d2aa,160,476.492,0,67,489,53.095,4,0,0
9bde2024,56,68.638,0,67,488,10.384,0,0,0
1e2f159b,35,46.452,0,68,356,10.469,1,0,0
0092942a,35,58.788,0,40,287,10.633,1,0,0
99c4d396,160,103.304,0,42,276,10.872,6,0,0
8f4fce7f,8,18.393,0,35,267,10.721,0,0,0
84d3184d,160,104.086,0,71,520,11.033,6,0,0
940d5723,160,104.410,0,49,349,11.216,6,0,0
7d262a11,0,5.421,0,0,0,10.751,0,0,0
sum,1224,1499.863,0,937,5982,230.317,28,0,0
arith_mean,72.00,83.33,0,55.12,351.88,12.80,4.00,0,0
geo_mean,46.61,55.30,0,53.75,343.27,11.40,3.20,0,0
