SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
217e6001,160,101.402,0,55,302,10.542,4,0,0
3e69d214,3,13.548,0,18,43,9.960,0,0,0
7b78f286,23,17.391,0,15,37,10.154,0,0,0
0c9f308d,30,17.394,0,17,43,10.378,0,0,0
0af2a93d,16,13.768,0,17,27,9.932,0,0,0
e9fb3765,37,16.711,0,13,27,10.091,0,0,0
336c3606,40,18.951,0,15,32,10.003,0,0,0
b2359669,37,14.062,0,2,6,10.061,0,0,0
3c3cacae,31,16.624,0,11,22,10.022,0,0,0
f644d2aa,160,480.304,0,16,35,53.095,4,0,0
9bde2024,42,19.513,0,17,53,10.384,0,0,0
1e2f159b,21,17.369,0,10,29,10.469,0,0,0
0092942a,18,16.473,0,4,6,10.633,0,0,0
99c4d396,160,104.096,0,1,5,10.872,6,0,0
8f4fce7f,8,14.434,0,1,1,10.721,0,0,0
84d3184d,160,104.846,0,18,40,11.033,6,0,0
940d5723,160,107.894,0,14,42,11.216,6,0,0
7d262a11,0,5.203,0,0,0,10.751,0,0,0
sum,1106,1099.983,0,244,750,230.317,26,0,0
arith_mean,65.06,61.11,0,14.35,44.12,12.80,5.20,0,0
geo_mean,38.09,27.83,0,9.61,23.27,11.40,5.10,0,0
