SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
54783e78,160,378.896,0,25,84,15.996,4,0,0
8d69c155,0,3.214,0,0,0,13.178,0,0,0
77b02e2d,30,398.746,0,24,101,13.367,0,0,0
4960b46c,18,6.998,0,24,90,2.330,0,0,0
78fc1d11,34,16.488,0,29,184,2.432,0,0,0
6f7fca41,160,14.172,0,32,213,2.354,0,0,0
4be3bb81,0,3.434,0,0,0,2.388,0,0,0
04729fec,15,9.910,0,39,237,2.343,0,0,0
5320774e,25,11.353,0,42,258,2.348,0,0,0
ec20f258,3,5.706,0,39,255,2.379,0,0,0
93b67534,0,3.363,0,0,0,2.406,0,0,0
754f4eef,160,14.950,0,59,368,2.446,0,0,0
e588a0a1,25,11.489,0,58,357,2.483,0,0,0
64961b16,4,5.918,0,46,197,2.571,0,0,0
d97a554b,37,14.653,0,68,409,2.507,0,0,0
077d2213,40,17.488,0,72,460,2.869,0,0,0
bcc0f708,24,17.877,0,66,296,2.861,0,0,0
298774c7,0,3.567,0,0,0,2.868,0,0,0
c82a1004,34,20.246,0,72,466,2.823,0,0,0
0dedb503,35,20.961,0,75,484,2.907,0,0,0
sum,804,979.429,0,770,4459,85.856,4,0,0
arith_mean,50.25,48.97,0,48.12,278.69,4.29,4.00,0,0
geo_mean,29.65,13.52,0,44.48,243.39,3.28,4.00,0,0
