SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
54783e78,160,398.938,0,25,84,15.996,4,0,0
8d69c155,0,3.227,0,0,0,13.178,0,0,0
77b02e2d,35,385.224,0,19,54,13.367,0,0,0
4960b46c,0,3.222,0,0,0,2.330,0,0,0
78fc1d11,38,15.098,0,25,135,2.432,0,0,0
6f7fca41,160,13.460,0,29,153,2.354,0,0,0
4be3bb81,0,3.435,0,0,0,2.388,0,0,0
04729fec,39,11.185,0,35,167,2.343,0,0,0
5320774e,39,11.121,0,39,185,2.348,0,0,0
ec20f258,39,12.902,0,35,173,2.379,0,0,0
93b67534,0,3.320,0,0,0,2.406,0,0,0
754f4eef,160,14.799,0,56,284,2.446,0,0,0
e588a0a1,41,12.509,0,52,220,2.483,0,0,0
64961b16,41,13.366,0,46,197,2.571,0,0,0
d97a554b,41,13.085,0,65,279,2.507,0,0,0
077d2213,43,19.152,0,69,313,2.869,0,0,0
bcc0f708,41,16.852,0,66,296,2.861,0,0,0
298774c7,0,3.625,0,0,0,2.868,0,0,0
c82a1004,41,17.004,0,69,316,2.823,0,0,0
0dedb503,41,18.409,0,72,329,2.907,0,0,0
sum,959,989.933,0,702,3185,85.856,4,0,0
arith_mean,63.93,49.50,0,46.80,212.33,4.29,4.00,0,0
geo_mean,52.64,13.88,0,43.06,191.11,3.28,4.00,0,0
