SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
11100798e0c0f2a8a84e26c7c31aa104311f0480,160,84.639,27,27,0,4.489,22,0,0
f78f52ff7455e09fa03bb8cd7c071268cb0e3998,36,9.098,29,14,0,4.329,0,0,0
beafa8ed339f30a3347f1b20ef112380efdc7de1,160,84.323,29,18,0,4.387,23,0,0
885fcd6168ca23e93a1c24300f2ddcbda720258c,160,98.667,46,30,0,5.212,26,0,0
19192deeb489ab9213136006c3a433a060a7b29e,160,128.231,45,9,0,5.876,26,0,0
bc98265f6d4650822fba6865e0ae591e8477897d,160,130.178,45,24,0,6.005,26,0,0
060daed5a72a0e3d95c65319fd99e3285a5b213a,160,128.849,45,7,0,5.898,26,0,0
8a09e6e090f5eaf28d3f59e005eda059025b765e,160,127.287,45,14,0,5.584,26,0,0
5ff3901493ae27eb4ef54ab0116dfc60a9fff421,35,11.346,45,7,0,5.670,0,0,0
60bd7d5cc1b515db30258a23c4949fc9b3964648,160,129.727,48,16,0,5.639,26,0,0
145a4bf7c99cf768a671e5c874bd6db7b26a3aff,30,11.040,41,6,0,5.620,0,0,0
818010687799c0fd5a63fa7a21ad7db4ad7986a7,33,11.566,45,22,0,5.683,0,0,0
607165f39d022e9ce36324e3abdb21c40bd64a14,17,10.972,46,11,0,5.722,0,0,0
8338e163b8cd4ff83f97fdd69527768338ffa5cc,160,130.737,46,12,0,5.699,26,0,0
276fe86a305d726232767bfc003d8f943b4491de,20,10.793,46,24,0,5.728,0,0,0
8841e30d9c1267941f5c7a54399eb20a5b63e65d,38,11.919,51,29,0,5.723,0,0,0
71328521eae87bd7c3deef00b15a1de1fa2c0628,35,12.302,55,22,0,5.761,0,0,0
821d1cf9581ecc2e170ab6775b7d637c27669671,20,11.081,55,27,0,5.762,0,0,0
25916d170800b4ba3946b7469317ddd7442e303a,35,11.878,55,14,0,5.826,0,0,0
fb2347bd3b7bf1649b4e645b81003b611386f904,160,131.204,59,16,0,5.845,27,0,0
sum,1899,1285.837,903,349,0,110.458,254,0,0
arith_mean,94.95,64.29,45.15,17.45,0,5.52,25.40,0,0
geo_mean,67.90,35.94,44.26,15.65,0,5.50,25.35,0,0
