SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
11100798e0c0f2a8a84e26c7c31aa104311f0480,160,73.813,0,27,226,4.489,22,0,0
f78f52ff7455e09fa03bb8cd7c071268cb0e3998,36,8.611,0,10,122,4.329,0,0,0
beafa8ed339f30a3347f1b20ef112380efdc7de1,160,74.269,0,10,141,4.387,23,0,0
885fcd6168ca23e93a1c24300f2ddcbda720258c,160,87.496,0,27,324,5.212,26,0,0
19192deeb489ab9213136006c3a433a060a7b29e,160,113.726,0,6,65,5.876,25,0,0
bc98265f6d4650822fba6865e0ae591e8477897d,160,116.657,0,10,170,6.005,26,0,0
060daed5a72a0e3d95c65319fd99e3285a5b213a,160,113.061,0,2,8,5.898,26,0,0
8a09e6e090f5eaf28d3f59e005eda059025b765e,160,112.335,0,6,67,5.584,26,0,0
5ff3901493ae27eb4ef54ab0116dfc60a9fff421,0,9.209,0,2,2,5.670,0,0,0
60bd7d5cc1b515db30258a23c4949fc9b3964648,160,115.029,0,10,119,5.639,26,0,0
145a4bf7c99cf768a671e5c874bd6db7b26a3aff,5,9.749,0,2,8,5.620,0,0,0
818010687799c0fd5a63fa7a21ad7db4ad7986a7,17,10.535,0,10,69,5.683,0,0,0
607165f39d022e9ce36324e3abdb21c40bd64a14,16,9.930,0,6,93,5.722,0,0,0
8338e163b8cd4ff83f97fdd69527768338ffa5cc,160,113.819,0,4,22,5.699,26,0,0
276fe86a305d726232767bfc003d8f943b4491de,7,9.868,0,3,3,5.728,0,0,0
8841e30d9c1267941f5c7a54399eb20a5b63e65d,33,11.090,0,12,111,5.723,0,0,0
71328521eae87bd7c3deef00b15a1de1fa2c0628,35,11.122,0,12,57,5.761,0,0,0
821d1cf9581ecc2e170ab6775b7d637c27669671,7,10.036,0,3,3,5.762,0,0,0
25916d170800b4ba3946b7469317ddd7442e303a,28,10.397,0,2,10,5.826,0,0,0
fb2347bd3b7bf1649b4e645b81003b611386f904,160,114.113,0,5,13,5.845,27,0,0
sum,1784,1134.865,0,169,1633,110.458,253,0,0
arith_mean,93.89,56.74,0,8.45,81.65,5.52,25.30,0,0
geo_mean,54.10,31.97,0,6.18,36.19,5.50,25.25,0,0
