SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
2f90181f,160,37.460,71,71,0,3.258,0,0,0
2a3c92b8,1,5.683,73,2,0,2.703,0,0,0
c2fa911b,17,6.207,74,6,0,2.715,6,0,0
99469303,1,5.539,74,2,0,2.686,0,0,0
77f71a8a,0,3.010,74,0,0,2.774,0,0,0
cd7e52a5,1,5.722,76,2,0,2.677,0,0,0
dffe3f09,17,6.184,75,3,0,2.721,0,0,0
14e4619a,18,20.470,77,4,0,3.988,0,0,0
8ffb32eb,18,20.605,76,4,0,3.933,0,0,0
a3651a88,2,6.909,78,2,0,3.878,0,0,0
9064563e,0,6.724,78,1,0,3.865,0,0,0
27f23b6e,2,6.843,80,2,0,3.946,0,0,0
a90fc406,18,7.463,80,23,0,3.945,6,0,0
a4d084cb,2,7.015,84,4,0,3.861,0,0,0
97f1e8f7,2,6.886,82,6,0,3.823,0,0,0
a154125d,1,6.985,84,2,0,3.851,0,0,0
79f65f89,1,7.040,84,2,0,4.018,0,0,0
f8508b40,18,7.410,84,14,0,4.010,6,0,0
bcc947ae,1,6.898,84,2,0,3.864,0,0,0
499e0588,1,6.922,84,3,0,3.945,0,0,0
sum,281,187.975,1572,155,0,70.461,18,0,0
arith_mean,15.61,9.40,78.60,8.16,0,3.52,6.00,0,0
geo_mean,4.03,7.78,78.48,3.83,0,3.48,6.00,0,0
