SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
b41a5183,160,44.723,0,151,839,18.332,0,0,0
b018d98e,21,27.583,0,75,406,17.735,0,0,0
2fdb5b3a,2,26.138,0,102,506,18.607,0,0,0
47ee1b62,1,22.141,0,125,909,18.449,0,0,0
71d6dedd,25,32.147,0,103,514,18.136,0,0,0
6dc5db63,0,26.273,0,58,299,17.853,0,0,0
bfb76e28,,0,,,,0,0,,
811ede4f,,0,,,,0,0,,
bcc2e489,,0,,,,0,0,,
59188929,,0,,,,0,0,,
57af41fa,,0,,,,0,0,,
b01669dc,,0,,,,0,0,,
00e3acda,,0,,,,0,0,,
cd9ce917,,0,,,,0,0,,
cb2b78e4,,0,,,,0,0,,
e435ee51,,0,,,,0,0,,
dbc54155,,0,,,,0,0,,
b019b099,,0,,,,0,0,,
7e3ee5e7,,0,,,,0,0,,
3763da11,,0,,,,0,0,,
sum,,179.005,,,,109.112,0,,
arith_mean,41.80,29.83,0,102.33,578.83,18.19,0,0,0
geo_mean,11.09,29.07,0,97.57,537.37,18.18,0,0,0
