SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
2d7b0d1949403a5cce39c893da5f047fb596070b,0,72.180,0,0,0,15.252,8,0,0
845f651300dbcdbfae00ec75db0c9a94244b6e93,0,65.753,0,0,0,7.294,8,0,0
81075d7fb1fa1102e53b0f159004e81f30567b1e,0,71.119,0,0,0,6.135,8,0,0
ba631b9d4a542885303aa7bd5952ad38b3d7e990,0,64.408,0,0,0,5.568,8,0,0
efbfe75d18d5022fb9c5175332cb5f4c06cd7ff1,0,69.505,0,0,0,4.631,8,0,0
77ca4ff79cbd1d6cd6ce81a6cfe53aa5dba68d30,0,66.317,0,0,0,6.691,8,0,0
010c87d9170f3e86a001a6351699aef1ae168fcf,0,65.707,0,0,0,7.874,8,0,0
2ae8ee5f981ca347b8cf000e8e0bd7b7bfadbd23,0,71.021,0,0,0,4.948,8,0,0
a79e8443ab85d01fc71154ae7d2296f65ad89d20,0,70.595,0,0,0,4.549,8,0,0
448718f23015abb49120fd77f4931c5b6266f2b0,0,69.955,0,0,0,4.855,8,0,0
4c306c847ebc63d8642f62d0de4f56ff6250afb5,0,65.266,0,0,0,4.304,8,0,0
4372e81347f5593c3dae8fc7b122c5d45c3057ef,0,70.861,0,0,0,8.515,8,0,0
07b12a6d31144fe29c9b87e4dcfc0ea5d2bd3ad5,0,69.381,0,0,0,4.714,8,0,0
77f7422ee589c192669dd962ff51be5143222177,0,77.203,0,0,0,9.064,8,0,0
f0c656067eafac31d99f38724bf422442848f4e4,0,76.536,0,0,0,4.616,8,0,0
a557ff1d4d283e8d5aca1be48f94cae919387b68,0,72.852,0,0,0,4.400,8,0,0
b70c659f88b83374092a4045f34318f5dd929423,0,71.195,0,0,0,5.049,8,0,0
2599ebe7d0008d8f342204e32f2ee05ea5b90fe4,0,65.431,0,0,0,7.130,8,0,0
c92a666d9f981cae52575957109dac5eb3e253b7,0,67.050,0,0,0,7.225,8,0,0
5882ac1c31f0a6d4a06767bafb5c46f674efedd7,0,63.872,0,0,0,5.443,8,0,0
sum,0,1386.207,0,0,0,128.257,160,0,0
arith_mean,-nan,69.31,-nan,-nan,-nan,6.41,8.00,-nan,-nan
geo_mean,-nan,69.21,-nan,-nan,-nan,6.07,8.00,-nan,-nan
