SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
2d7b0d1949403a5cce39c893da5f047fb596070b,0,70.060,0,0,0,15.252,8,0,0
845f651300dbcdbfae00ec75db0c9a94244b6e93,0,73.495,0,0,0,7.294,8,0,0
81075d7fb1fa1102e53b0f159004e81f30567b1e,0,33.137,0,0,0,6.135,1,0,0
ba631b9d4a542885303aa7bd5952ad38b3d7e990,0,74.660,0,0,0,5.568,8,0,0
efbfe75d18d5022fb9c5175332cb5f4c06cd7ff1,0,39.101,0,0,0,4.631,1,0,0
77ca4ff79cbd1d6cd6ce81a6cfe53aa5dba68d30,0,63.911,0,0,0,6.691,8,0,0
010c87d9170f3e86a001a6351699aef1ae168fcf,0,62.049,0,0,0,7.874,8,0,0
2ae8ee5f981ca347b8cf000e8e0bd7b7bfadbd23,0,63.386,0,0,0,4.948,8,0,0
a79e8443ab85d01fc71154ae7d2296f65ad89d20,0,62.692,0,0,0,4.549,8,0,0
448718f23015abb49120fd77f4931c5b6266f2b0,0,65.607,0,0,0,4.855,8,0,0
4c306c847ebc63d8642f62d0de4f56ff6250afb5,0,66.802,0,0,0,4.304,8,0,0
4372e81347f5593c3dae8fc7b122c5d45c3057ef,0,69.010,0,0,0,8.515,8,0,0
07b12a6d31144fe29c9b87e4dcfc0ea5d2bd3ad5,0,63.930,0,0,0,4.714,8,0,0
77f7422ee589c192669dd962ff51be5143222177,0,37.841,0,0,0,9.064,1,0,0
f0c656067eafac31d99f38724bf422442848f4e4,0,69.932,0,0,0,4.616,8,0,0
a557ff1d4d283e8d5aca1be48f94cae919387b68,0,65.238,0,0,0,4.400,8,0,0
b70c659f88b83374092a4045f34318f5dd929423,0,70.193,0,0,0,5.049,8,0,0
2599ebe7d0008d8f342204e32f2ee05ea5b90fe4,0,37.437,0,0,0,7.130,1,0,0
c92a666d9f981cae52575957109dac5eb3e253b7,0,32.850,0,0,0,7.225,1,0,0
5882ac1c31f0a6d4a06767bafb5c46f674efedd7,0,40.175,0,0,0,5.443,1,0,0
sum,0,1161.506,0,0,0,128.257,118,0,0
arith_mean,-nan,58.08,-nan,-nan,-nan,6.41,5.90,-nan,-nan
geo_mean,-nan,55.97,-nan,-nan,-nan,6.07,4.29,-nan,-nan
