project,stars
ChannelApe/shopify-sdk,168
JCVenterInstitute/VIGOR4,19
JodaOrg/joda-time,4979
Mastercard/client-encryption-java,124
NovatecConsulting/BeanTest,25
Pablissimo/SonarTsPlugin,186
StarlangSoftware/TurkishPropBank,6
StarlangSoftware/TurkishSentiNet,11
TNG/property-loader,8
actiontech/dble,1104
albfernandez/javadbf,231
alfasoftware/soapstone,11
almson/almson-refcount,20
apache/sling-org-apache-sling-feature,13
asciidoctor/asciidoclet,134
ben-xo/cdjscrobbler,11
braintree/braintree_java,157
codelion/gramtest,86
contentful/contentful.java,73
conveyal/osm-lib,40
coralblocks/CoralME,43
dakusui/jcunit,82
danielwegener/logback-kafka-appender,648
davidmoten/rxjava2-file,13
devcon5io/mutation-analysis-plugin,30
dnsjava/dnsjava,999
dperezcabrera/jpoker,35
eightbitjim/cassette-nibbler,12
f4b6a3/uuid-creator,509
fsantiag/sonar-clojure,58
gabrie-allaigre/sonar-gitlab-plugin,720
gini/dropwizard-gelf,52
googleapis/java-pubsub-group-kafka-connector,45
houbb/segment,150
houbb/sensitive-word,5101
imglib/imglib2,308
indeedeng/vowpal-wabbit-java,51
jdbc-observations/datasource-proxy,716
jingpeicomp/id-generator,303
jscep/jscep,120
macacajs/wd.java,30
martin-g/wicket-jquery-selectors,16
mdewilde/opml-parser,19
messenger4j/messenger4j,211
octavian-h/time-series-math,15
pagehelper/Mybatis-PageHelper,12292
qoomon/banking-swift-messages-java,42
ripreal/V8LogScanner,41
sabomichal/liquibase-mssql,16
sailthru/sailthru-java-client,11
sblendorio/petscii-bbs,127
sigopt/sigopt-java,8
simonnagl/netdata-java-orchestrator,26
smartystreets/smartystreets-java-sdk,16
soot-oss/heros,246
studerw/td-ameritrade-client,68
tarql/tarql,197
twitter/twitter-korean-text,860
valfirst/jbehave-junit-runner,73
vasia/gelly-streaming,142
vaulttec/sonar-auth-oidc,112
venushka/jmxeval,17
visenze/visearch-sdk-java,7
walmartlabs/gozer,70
weswilliams/GivWenZen,24
whizzosoftware/WZWave,33
wiqer/ef-redis,132
zerouwar/Octopus,68
